Date,return
2015-10-08,0.015295116587688451
2015-10-09,-0.0027902552995737622
2015-10-12,-0.020647949806812626
2015-10-13,-0.011353656037913717
2015-10-14,0.018150701965229665
2015-10-15,0.009459674062604497
2015-10-16,-0.004365802011907583
2015-10-19,-0.016617470716374375
2015-10-20,0.0010174350102415517
2015-10-21,-0.020418213020659617
2015-10-22,-0.008694762568497908
2015-10-23,0.013710555624860645
2015-10-26,-0.017793947423151824
2015-10-27,-0.017583659908307795
2015-10-28,0.02744705802134252
2015-10-29,0.0177413577620238
2015-10-30,-0.0009333428241660832
2015-11-02,0.03820797152026127
2015-11-03,0.016125978242642447
2015-11-04,0.009096639735698579
2015-11-05,0.01182009488261694
2015-11-06,0.0048250369434011744
2015-11-09,-0.013594120405079025
2015-11-10,-0.02213145744135654
